class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
Walking,0.336678207,0.139823169,0.102493718,0.991241276,0.340412498,0.1084681,0.054542117,0.991316438,0.340498537,0.106858373,0.054495938,0.992024839,0.340588957,0.105279945,0.054400124,0.993437767,0.345151603,0.107618049,0.087500773,0.989385784,0.34869796,0.105541773,0.08745008,0.987460554,0.352689475,0.103281967,0.087143376,0.987010717,0.354412287,0.109235339,-0.107385315,0.996081769,0.372581661,0.105232693,0.037467759,0.988918126,0.341581047,0.160965517,0.05103625,0.995448828,0.345941186,0.16099447,0.093238488,0.992627263,0.337218702,0.245560288,-0.233406022,0.999497831,0.437277496,0.259500355,0.074470058,0.996840835,0.314691663,0.489127129,-0.280686915,0.956317008,0.434218168,0.473863274,0.120700121,0.29134503,0.283403367,0.721167147,-0.20556061,0.895388901,0.394248426,0.585152686,0.156655028,0.303718686,0.269832194,0.779570162,-0.222196847,0.871133924,0.391489595,0.606947184,0.184172407,0.301185966,0.271049887,0.780390441,-0.209462076,0.86931318,0.375280231,0.60068059,0.143859953,0.307324946,0.282270193,0.76073128,-0.199662328,0.861463904,0.377603114,0.596441805,0.140434429,0.315303534,0.344983727,0.702230215,-0.083798133,0.97936964,0.419974148,0.703415871,0.083798409,0.966888547,0.337963164,0.969969273,-0.017194714,0.473061293,0.398517907,0.980697274,0.136230305,0.210907936,0.348249376,1.295091629,0.051544733,0.10953328,0.38746655,1.312345266,0.183862075,0.064396508,0.360459834,1.348128676,0.055665951,0.245437205,0.39308238,1.370659351,0.187798649,0.141941831,0.313800693,1.326690674,-0.004038189,0.08093515,0.351017147,1.338214397,0.130227685,0.048914388
Walking,0.337742269,0.138128668,0.156073198,0.991432607,0.339585662,0.110319562,0.107177094,0.991522312,0.338391721,0.109252937,0.107103251,0.99222517,0.337109655,0.10835249,0.107032396,0.993444562,0.346705735,0.109087221,0.132015541,0.989521384,0.350849301,0.107083842,0.131946847,0.987844646,0.355540574,0.105015606,0.131707177,0.987305641,0.345782012,0.114990614,-0.074723639,0.995960891,0.37392804,0.109465979,0.036520593,0.989355385,0.339721948,0.158790916,0.097519919,0.995006323,0.347125709,0.15981777,0.129795313,0.992344797,0.315342039,0.255073935,-0.170315236,0.999434769,0.441260636,0.268914253,0.021679718,0.996903658,0.272965223,0.490106076,-0.219584748,0.946423769,0.435429513,0.480539113,0.056857504,0.284803927,0.234836653,0.714188457,-0.151456699,0.871037424,0.409834921,0.594875455,0.150565356,0.2776362,0.22267735,0.772414505,-0.152858645,0.843436182,0.411905915,0.649899781,0.163224325,0.275711238,0.226032808,0.77101481,-0.138445988,0.841288626,0.396537662,0.646148026,0.128387704,0.281111479,0.237174585,0.753412008,-0.142571598,0.826954067,0.393499404,0.635446429,0.123065993,0.288771302,0.339630425,0.70425421,-0.04859649,0.980858684,0.422358692,0.705221176,0.048151199,0.969127238,0.330151141,0.955032587,0.106996894,0.466936409,0.411507428,0.984599531,0.163599968,0.214257896,0.352440536,1.223806024,0.034505252,0.134670064,0.396547526,1.240574598,0.071678586,0.076390982,0.364774495,1.260467291,0.026147068,0.272954673,0.394354284,1.279868126,0.062341698,0.164086133,0.320189893,1.282401562,-0.020322485,0.097837247,0.383406997,1.29722178,0.022276696,0.055954635
Walking,0.337339938,0.137362421,0.156189859,0.991393566,0.338190466,0.110879444,0.105416119,0.991520107,0.33648473,0.110179543,0.105337575,0.99218905,0.334689021,0.109739974,0.105311535,0.993249178,0.346478164,0.109327212,0.132884294,0.989551663,0.350808203,0.107542105,0.132824108,0.988044739,0.355523586,0.105831578,0.132553667,0.98749572,0.34118253,0.117863297,-0.07429105,0.995656669,0.373640656,0.112559602,0.046099134,0.989643395,0.337877184,0.157388017,0.097761609,0.994493484,0.346883208,0.157674834,0.133206576,0.992067218,0.308851242,0.258871049,-0.176865488,0.999290764,0.444518179,0.268107295,0.034518622,0.996979117,0.260499984,0.479442567,-0.212094456,0.948135614,0.447308004,0.476876706,0.096745655,0.299889207,0.215948105,0.668238938,-0.128046319,0.86202848,0.437897831,0.606181741,0.219427973,0.256373912,0.205883294,0.716257215,-0.129762337,0.828495622,0.434816182,0.652331769,0.25573352,0.254216969,0.209886819,0.717665434,-0.114883289,0.825936139,0.42687279,0.64958334,0.226541549,0.258920401,0.216366604,0.704498947,-0.11885035,0.805978537,0.424708933,0.632668614,0.210316271,0.266699284,0.343198717,0.694413602,-0.050499596,0.981357574,0.423259586,0.694602311,0.050288267,0.970447779,0.347164571,0.951526582,0.046538744,0.463455617,0.41425246,0.977702737,0.130755275,0.233664468,0.358406782,1.201168895,0.037645105,0.140301511,0.41791898,1.264345765,0.074448518,0.082058206,0.370132655,1.236911178,0.039016735,0.277906775,0.41704756,1.311255336,0.070645392,0.179047957,0.328101933,1.261171341,-0.000833981,0.098652102,0.41946587,1.324265003,0.025491482,0.056064889
Walking,0.342272311,0.134934112,0.143472537,0.991774857,0.341643512,0.109103546,0.096233092,0.991956532,0.339513838,0.10857033,0.0961909,0.992588997,0.337115586,0.108377807,0.096124366,0.993489742,0.350125909,0.107836872,0.114759669,0.990048289,0.354403615,0.10635595,0.114750683,0.988720834,0.358950168,0.105047248,0.114525534,0.988165498,0.341453135,0.118815191,-0.072602496,0.995643318,0.375920445,0.114260517,0.035625745,0.990193903,0.34259367,0.155300021,0.090386756,0.994282961,0.351579845,0.155249745,0.115161739,0.99199301,0.307286143,0.261402458,-0.166106969,0.999189913,0.448560476,0.272030056,-0.015469333,0.997033,0.249302387,0.470435768,-0.195219383,0.949856997,0.470584929,0.477052718,0.002718979,0.343291879,0.213779807,0.625089586,-0.124346539,0.843764842,0.47254771,0.613395751,0.072284937,0.252594709,0.203406811,0.668633878,-0.122178003,0.802372575,0.468526214,0.662694991,0.099302448,0.246233106,0.208796307,0.664155722,-0.108811781,0.799482107,0.461377084,0.660861731,0.091852978,0.249653012,0.216717646,0.646520555,-0.115909733,0.77319026,0.459025443,0.644605994,0.072173782,0.256537616,0.346017659,0.688291967,-0.060342509,0.982567251,0.426772058,0.687032223,0.060021631,0.97209537,0.350808471,0.908108711,0.102326773,0.487198979,0.425941169,0.918386221,0.23981078,0.238636509,0.347568244,1.018286467,0.045624707,0.184785977,0.423560053,1.120056391,0.138673216,0.095062472,0.370589495,1.157132864,0.057602413,0.320464462,0.426855624,1.159072518,0.149660707,0.20655632,0.320536017,1.181474686,0.041651938,0.12856172,0.402896971,1.157954574,0.162045047,0.067033105
Walking,0.345623106,0.135967672,0.12955907,0.991631031,0.344085753,0.111106724,0.081660286,0.992085636,0.341820598,0.11073529,0.081602722,0.992719829,0.339360267,0.110716,0.08151269,0.993447363,0.352909833,0.109875545,0.099845052,0.990130544,0.356941581,0.108680569,0.099853359,0.988993764,0.361066878,0.107729033,0.099613726,0.988370717,0.343582571,0.120888531,-0.085166059,0.995465875,0.378521204,0.117590524,0.009633081,0.990452051,0.34611243,0.156205833,0.077038214,0.993889928,0.355200261,0.155897245,0.101696946,0.9915905,0.307211041,0.260977417,-0.166620791,0.999125183,0.453222215,0.273674518,-0.037443731,0.997091115,0.250819325,0.456307352,-0.161900863,0.952210367,0.488225043,0.470535755,0.001829265,0.392657191,0.211457491,0.579910338,-0.065307602,0.831151426,0.498636633,0.617088675,0.093325123,0.261903942,0.200847864,0.621837854,-0.058669455,0.782567859,0.499671996,0.6621297,0.118287221,0.24763976,0.20795843,0.615880132,-0.050039012,0.779494405,0.4908095,0.661473036,0.104779527,0.24957791,0.213600472,0.603076994,-0.057616957,0.746807933,0.486414343,0.645721197,0.084725954,0.255733699,0.349907011,0.676630616,-0.057543106,0.983644545,0.428943574,0.669662952,0.057101,0.973395467,0.354786456,0.882373452,0.089532301,0.511918426,0.426837355,0.884298086,0.223217368,0.247376963,0.344744146,1.002288342,0.179655939,0.216396645,0.421153486,1.076148272,0.28777349,0.101636067,0.372109592,1.138447165,0.189444125,0.346948564,0.424848258,1.120414853,0.301522076,0.224331871,0.320363224,1.120666504,0.170847058,0.145534277,0.396034479,1.091769099,0.311328471,0.073398195
Walking,0.346388847,0.137638137,0.103610538,0.991845608,0.347160399,0.112568751,0.054644037,0.992458642,0.345797986,0.112118915,0.054567259,0.993017375,0.344074368,0.11197757,0.054450072,0.99368161,0.353880584,0.111724168,0.076428212,0.990678251,0.359050184,0.110818118,0.076443642,0.989605546,0.364150137,0.110238075,0.076218136,0.989071012,0.3502177,0.122778945,-0.09985812,0.995669425,0.378988743,0.121251337,-0.023147114,0.991152108,0.349427879,0.157539785,0.05446155,0.994107604,0.357959688,0.157511383,0.082772441,0.992024958,0.318223119,0.259705603,-0.165943712,0.999027073,0.46098271,0.277883023,-0.057041079,0.997273326,0.263044298,0.447679639,-0.088941559,0.949948668,0.497693121,0.470922679,0.018934175,0.444829613,0.234727472,0.502821863,0.091004744,0.790118277,0.512645125,0.617803216,0.142473698,0.27960217,0.221268341,0.51221782,0.106007278,0.741182446,0.513175607,0.660232782,0.168213159,0.257744312,0.228948265,0.509370744,0.112005651,0.738411188,0.506749272,0.658368349,0.159307018,0.258345902,0.235152289,0.506357431,0.099578977,0.704800189,0.501814067,0.64273417,0.143060356,0.264289826,0.352357805,0.665494978,-0.043098569,0.983911395,0.42988199,0.664781868,0.04294714,0.974084616,0.3504439,0.90138185,0.082939133,0.513174593,0.429963827,0.89993608,0.180776671,0.255548477,0.350365758,1.054092288,0.200729042,0.220341161,0.431966364,1.15332365,0.259940505,0.102901846,0.363788784,1.187336087,0.210925341,0.348651618,0.435204118,1.198542237,0.269707382,0.232768282,0.320786655,1.1743294,0.192520469,0.145229071,0.419037998,1.186998129,0.257842064,0.073814228
Walking,0.354323387,0.147982657,0.107526794,0.991372466,0.350064963,0.123326875,0.056647442,0.992409706,0.347420752,0.122476935,0.056553971,0.992873251,0.344291031,0.121950246,0.056369103,0.993521988,0.358613074,0.122634441,0.078987695,0.990809083,0.363418549,0.121348582,0.079063445,0.989749074,0.368221194,0.120398797,0.078880474,0.989375591,0.354176104,0.129933149,-0.102410495,0.995565593,0.382150352,0.128354594,-0.017782602,0.991535902,0.355792463,0.166639462,0.059709478,0.9937433,0.36717099,0.167276651,0.089745075,0.991890252,0.330455959,0.260411739,-0.157576576,0.998915613,0.466305971,0.284939915,-0.021776844,0.997379839,0.278924137,0.450018257,-0.056362033,0.942068458,0.498872817,0.480493635,0.042828076,0.489227206,0.251149267,0.477238417,0.159874633,0.734429717,0.50584048,0.627472937,0.173642844,0.280489743,0.232191235,0.482204258,0.177311003,0.687994063,0.504561603,0.673253,0.200098678,0.254983991,0.238340646,0.466789156,0.188691556,0.685586452,0.495904684,0.672022641,0.186533242,0.254540056,0.236201853,0.47159493,0.171996295,0.653399646,0.490799099,0.654110551,0.172753543,0.260338932,0.353518009,0.665514529,-0.050976604,0.983818114,0.438472599,0.667125404,0.050868571,0.973438561,0.350931019,0.915640831,0.071913466,0.51415062,0.44439587,0.908613861,0.177948743,0.250952989,0.348716289,1.129345894,0.164822966,0.219896942,0.456033468,1.168963313,0.254591286,0.099732347,0.360622376,1.218654275,0.170370132,0.346801519,0.460307449,1.214451551,0.265486062,0.232503399,0.315702289,1.206825137,0.137654841,0.140590325,0.444221348,1.196254611,0.266080201,0.071134172
Walking,0.356711686,0.171970159,0.101756096,0.991151452,0.354668826,0.145396113,0.061639287,0.992354095,0.354048461,0.143937886,0.061520416,0.992669165,0.353401214,0.142508671,0.061378855,0.993336141,0.359899342,0.145399302,0.08907751,0.990899265,0.363973171,0.143990502,0.089102633,0.98977524,0.368356913,0.142563999,0.088846982,0.989565969,0.36944133,0.143387675,-0.047782257,0.995222509,0.384981334,0.142696768,0.078818902,0.991826117,0.363472939,0.188772246,0.068383671,0.992925823,0.370097101,0.189757437,0.104946926,0.991423428,0.369570553,0.259048939,-0.137788147,0.998797894,0.465776592,0.281052947,0.121898971,0.99729985,0.33143577,0.434140146,-0.138959378,0.935859323,0.490893662,0.464719564,0.182778105,0.456539869,0.306341469,0.478648841,0.128395319,0.720959425,0.45797658,0.582639039,0.251019537,0.256428182,0.287759513,0.499458343,0.165101916,0.677778244,0.452802807,0.607722282,0.275265723,0.23376283,0.290361345,0.492341787,0.136888444,0.675643802,0.443190813,0.600603342,0.249511719,0.23340185,0.299035519,0.486529112,0.139734074,0.642440319,0.443804085,0.592051923,0.242391497,0.239239678,0.390498102,0.657963514,-0.077227637,0.983576238,0.452329397,0.666064203,0.077051684,0.973008275,0.352754205,0.895213008,0.020978479,0.531934321,0.440186501,0.906063437,0.178062871,0.255973518,0.351192653,1.119962931,0.131077185,0.220069826,0.453938425,1.169300318,0.226279572,0.100112014,0.363948762,1.176443338,0.146025687,0.351290047,0.462778807,1.217987537,0.232316881,0.238431364,0.309307754,1.128963828,0.125764161,0.139316544,0.428805918,1.19381249,0.246603936,0.071175747
Walking,0.363279343,0.18605037,-0.05106895,0.991393685,0.366218537,0.156919837,-0.075852215,0.992633581,0.368265182,0.155384734,-0.075870156,0.99280411,0.370413333,0.15390566,-0.075942323,0.993427813,0.365176648,0.157073379,-0.042826958,0.991343975,0.367096066,0.155801356,-0.042803369,0.990193963,0.369631946,0.154452711,-0.043148182,0.990104318,0.38922295,0.152707651,-0.095937468,0.995139599,0.388894111,0.151971072,0.058477186,0.992395282,0.373976529,0.205413654,-0.055300318,0.992905676,0.373448491,0.205530986,-0.013461647,0.991628289,0.400715172,0.260740161,-0.209144905,0.998723686,0.457479656,0.2785528,0.157645732,0.997233987,0.368344724,0.440981239,-0.280261874,0.936852515,0.463551581,0.449042648,0.238379985,0.413906187,0.331128418,0.522481799,-0.222630903,0.736869454,0.411222368,0.541615129,0.264631987,0.23411645,0.318690926,0.549495339,-0.251599342,0.696026623,0.403961807,0.566832662,0.294324905,0.214950547,0.31931752,0.544542909,-0.235426113,0.693496764,0.391455144,0.558972657,0.253550321,0.214855492,0.324576616,0.537516356,-0.214585826,0.662279844,0.39498058,0.552804172,0.249066591,0.220912814,0.431013197,0.658929169,-0.121742681,0.98162967,0.467098624,0.6551947,0.121931352,0.969874322,0.386924237,0.91032517,-0.061238647,0.570236444,0.44526425,0.908378184,0.197584704,0.238684326,0.390920967,1.192642212,-0.003590616,0.230932966,0.466044366,1.152247429,0.315527678,0.094782099,0.407231152,1.230394483,0.001299181,0.389794141,0.481617302,1.197273731,0.325694859,0.245052829,0.342255473,1.186986327,-0.042332701,0.146314725,0.421784163,1.184997439,0.304830939,0.070331067
Walking,0.380687535,0.187683597,-0.143279165,0.992162645,0.384406269,0.156232268,-0.174564868,0.9932971,0.387401611,0.154475927,-0.174551368,0.993448853,0.390711457,0.152648807,-0.174598798,0.994022787,0.380637288,0.157444417,-0.129058331,0.992103219,0.380987644,0.156665668,-0.128927425,0.991034567,0.381619304,0.155761853,-0.129004464,0.990965068,0.413761675,0.151307493,-0.245466471,0.995571673,0.401854843,0.152491435,-0.041609839,0.993036807,0.394870341,0.209072351,-0.163665876,0.993553579,0.390498698,0.210679293,-0.10515438,0.992349386,0.446589381,0.262795538,-0.33834523,0.99884218,0.459724814,0.275343567,0.105323613,0.997354507,0.450117648,0.462510228,-0.383564085,0.942533672,0.465214252,0.456508011,0.174025163,0.376657903,0.401815832,0.618364334,-0.341610014,0.761378169,0.421880186,0.579788804,0.119338177,0.217143357,0.392530292,0.667430699,-0.390033662,0.722865641,0.418847263,0.619640589,0.129830465,0.201683834,0.388295829,0.658465981,-0.369553149,0.720395923,0.403517663,0.616091132,0.071606115,0.201841146,0.391054124,0.6458776,-0.331799865,0.690697193,0.403266013,0.612852395,0.093566112,0.208095014,0.463030338,0.657742381,-0.11898762,0.982863784,0.47746557,0.648196518,0.119157538,0.971496582,0.437599838,0.917239964,-0.038965236,0.574030221,0.467867941,0.910487473,0.197043926,0.220552713,0.461464405,1.201917052,0.04196731,0.233186752,0.471596658,1.164378047,0.33725673,0.088609129,0.474806219,1.233048558,0.044334028,0.407084525,0.486245394,1.208029747,0.349814922,0.236466944,0.421975464,1.210538745,0.002091242,0.149494052,0.422617346,1.201136589,0.290950954,0.068099678
